timestamp,system,M,size,build_ef,graph,k,search_ef,recall,qps_t,hop,dist,thread
2024-08-01 18:13:54.294,hnsw_pickle,32,10M,300,bigann,1,5,75.1,5723,14.9,635.0,48
2024-08-01 18:13:54.393,hnsw_pickle,32,10M,300,bigann,1,10,86.6,4163,19.8,875.7,48
2024-08-01 18:13:54.540,hnsw_pickle,32,10M,300,bigann,1,20,93.9,2786,29.2,1298.4,48
2024-08-01 18:13:54.736,hnsw_pickle,32,10M,300,bigann,1,30,96.6,2051,38.8,1699.4,48
2024-08-01 18:13:55.023,hnsw_pickle,32,10M,300,bigann,1,50,98.6,1390,58.4,2467.1,48
2024-08-01 18:13:55.400,hnsw_pickle,32,10M,300,bigann,1,70,99.2,1062,78.1,3196.0,48
2024-08-01 18:13:55.865,hnsw_pickle,32,10M,300,bigann,1,90,99.5,849,97.9,3895.4,48
2024-08-01 18:13:56.372,hnsw_pickle,32,10M,300,bigann,1,100,99.6,788,107.9,4235.5,48
2024-08-01 18:13:57.320,hnsw_pickle,32,10M,300,bigann,1,200,99.9,425,207.6,7390.8,48
2024-08-01 18:13:58.658,hnsw_pickle,32,10M,300,bigann,1,300,100.0,295,307.5,10251.7,48
2024-08-01 18:14:00.386,hnsw_pickle,32,10M,300,bigann,1,400,100.0,231,407.4,12927.7,48
2024-08-01 18:14:02.479,hnsw_pickle,32,10M,300,bigann,1,500,100.0,189,507.3,15467.6,48
2024-08-01 18:14:02.579,hnsw_pickle,32,10M,300,bigann,10,10,79.9,4125,19.8,875.7,48
2024-08-01 18:14:02.736,hnsw_pickle,32,10M,300,bigann,10,20,89.5,2692,29.2,1298.4,48
2024-08-01 18:14:02.933,hnsw_pickle,32,10M,300,bigann,10,30,93.6,2030,38.8,1699.4,48
2024-08-01 18:14:03.225,hnsw_pickle,32,10M,300,bigann,10,50,97.0,1370,58.4,2467.1,48
2024-08-01 18:14:03.607,hnsw_pickle,32,10M,300,bigann,10,70,98.3,1050,78.1,3196.0,48
2024-08-01 18:14:04.076,hnsw_pickle,32,10M,300,bigann,10,90,98.9,853,97.9,3895.4,48
2024-08-01 18:14:04.588,hnsw_pickle,32,10M,300,bigann,10,100,99.2,776,107.9,4235.5,48
2024-08-01 18:14:05.518,hnsw_pickle,32,10M,300,bigann,10,200,99.8,427,207.6,7390.8,48
2024-08-01 18:14:06.839,hnsw_pickle,32,10M,300,bigann,10,300,99.9,300,307.5,10251.7,48
2024-08-01 18:14:08.536,hnsw_pickle,32,10M,300,bigann,10,400,100.0,233,407.4,12927.7,48
2024-08-01 18:14:10.613,hnsw_pickle,32,10M,300,bigann,10,500,100.0,191,507.3,15467.6,48
2024-08-01 18:14:11.160,hnsw_pickle,32,10M,300,bigann,100,100,96.0,781,107.9,4235.5,48
2024-08-01 18:14:12.121,hnsw_pickle,32,10M,300,bigann,100,200,98.9,428,207.6,7390.8,48
2024-08-01 18:14:13.489,hnsw_pickle,32,10M,300,bigann,100,300,99.5,299,307.5,10251.7,48
2024-08-01 18:14:15.230,hnsw_pickle,32,10M,300,bigann,100,400,99.8,234,407.4,12927.7,48
2024-08-01 18:14:17.330,hnsw_pickle,32,10M,300,bigann,100,500,99.9,192,507.3,15467.6,48
2024-08-01 19:14:15.247,hnsw_pickle,32,10M,500,bigann,1,1,40.5,6107,9.7,365.3,48
2024-08-01 19:14:15.322,hnsw_pickle,32,10M,500,bigann,1,5,75.5,5572,14.7,632.8,48
2024-08-01 19:14:15.423,hnsw_pickle,32,10M,500,bigann,1,10,87.1,4109,19.6,876.0,48
2024-08-01 19:14:15.571,hnsw_pickle,32,10M,500,bigann,1,20,94.3,2738,29.1,1303.9,48
